# configuracion.tsv — Catálogo de fábrica para la pestaña "General"
# de la Ventana de Configuración.
#
# Columnas (separadas por TAB): nivel | clave | nombre_ui | valor_defecto | tipo
#
# - nivel: agrupación de la pestaña General (más simple que el árbol
#   de Apariencia, sin anidado).
#     1 = Título (subtítulo de grupo, ej. "Varios"). Solo lleva
#         nombre_ui — clave/valor_defecto/tipo van vacíos. Todas las
#         filas "0" siguientes pertenecen a este grupo, hasta el
#         próximo "1".
#     0 = valor individual, pertenece al grupo "1" inmediatamente
#         anterior.
# - clave: (solo nivel 0) debe coincidir EXACTO con el nombre de la
#   función de config.rs sin el prefijo "establecer_" (ej. clave
#   "tiempo_doble" -> config::tiempo_doble() / config::establecer_tiempo_doble()).
# - tipo: (solo nivel 0) "numero" (un solo entero), "numero_par" (dos
#   enteros separados por coma, ej. "60,30" -> ancho,alto), "texto"
#   (string) o "trigger" (modificadores + gatillo, formato AtajoSimple
#   de config.rs: "mod1,mod2|gatillo", ej. "keyboard:LeftControl|keyboard:F1").
# - valor_defecto: (solo nivel 0) mismo valor que el default en
#   config.rs, en el mismo formato que "tipo" (par -> "ancho,alto").
#
# ⚠️ Sincronización: cualquier variable nueva/eliminada/renombrada en
# config.rs debe reflejarse acá. configuracion_usuario.rs valida las
# claves al cargar Configuracion_Usuario.txt e ignora silenciosamente
# las que no matcheen ninguna fila de este archivo.

nivel	clave	nombre_ui	valor_defecto	tipo
1		Teclas de sistema		
0	tecla_guardar_coordenada	Guardar coordenada capturada	|keyboard:F1	trigger
0	tecla_toggle_perfil	Atajo Activar/Desactivar Perfil	keyboard:LeftControl|keyboard:F1	trigger
0	tecla_grabar_macro	Iniciar/Detener grabación de Macro	|keyboard:F2	trigger
1		Reconocimiento en Entrada		
0	tiempo_doble	Tiempo máx entre toques, doble/triple (ms)	250	numero
0	tiempo_mantenido	Tiempo mínimo para Mantenido (ms)	300	numero
0	sensibilidad_rueda	Pulsos mínimos para Rueda Mantenida (pulsos)	5	numero
1		Tiempos para salidas		
0	tiempo_repeticion	Intervalo de repetición Turbo (ms)	30	numero
0	tiempo_espera_normal	Espera antes de repetir en Normal (ms)	500	numero
0	delay_entre_salida_doble	Pausa entre repetición, Doble o Triple (ms)	30	numero
0	delay_rueda_repeticion	Pausa entre repeticiones de rueda (ms)	30	numero
0	tiempo_simple_teclas	Pausa entre Down y Up, tecla Simple (ms)	0	numero
1		Varios		
0	delta_volumen	Paso de volumen específico en App (unidades)	10	numero
1		Tiempos seguridad sistema		
0	tiempo_maximo_retenido	Tiempo máximo tecla retenida, red de seguridad (ms)	10000	numero
0	tiempo_inactividad_captura	Tiempo máximo para Captura teclas (ms)	10000	numero
0	intervalo_captura_coordenada	Intervalo de refresco captura coordenada(ms)	100	numero
0	pausa_minima_entre_pasos_macro	Pausa mínima entre pasos de Macro (ms)	15	numero
0	tiempo_ignorar_cambio_portapapeles	Ignorar cambio de portapapeles tras pegar (ms)	600	numero
0	tiempo_espera_pegado_imagen	Espera antes de pegar imagen (ms)	450	numero
0	tiempo_espera_pegado_texto	Espera antes de pegar texto (ms)	50	numero
0	delay_imagen_photoshop	Pausa Photoshop, pegado de imagen (ms)	1350	numero
0	menu_boton_pequeno	MenuExpress: botón pequeño (ancho,alto)	60,30	numero_par
0	menu_boton_mediano	MenuExpress: botón mediano (ancho,alto)	80,40	numero_par
0	menu_boton_grande	MenuExpress: botón grande (ancho,alto)	100,50	numero_par
0	menu_texto_pequeno	MenuExpress: tamaño de texto pequeño (px)	10	numero
0	menu_texto_mediano	MenuExpress: tamaño de texto mediano (px)	13	numero
0	menu_texto_grande	MenuExpress: tamaño de texto grande (px)	16	numero
0	portapapeles_boton_pequeno	Portapapeles: botón pequeño (ancho,alto)	140,26	numero_par
0	portapapeles_boton_mediano	Portapapeles: botón mediano (ancho,alto)	180,32	numero_par
0	portapapeles_boton_grande	Portapapeles: botón grande (ancho,alto)	220,40	numero_par

